Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0015212985511649,-0.00328738532342458,0.247935134306708,0,0,0,4.72012675043006,0.0221401012496603,-5.58433842104424E-08,-7.6216589647336E-08,0.0222190407097194,-3.5582322560207E-06,0.00612224556504394,0,0,0,0,0,0,package://js_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://js_urdf/meshes/base_link.STL,,10.062.5 点头机构-1/10.062.5-1 电机座-1;10.062.3 左手臂-1/10.062.2-1 底板-1;10.062.2 右手臂-1/10.062.2-1 底板-1;10.062.5 点头机构-1/FA14310_V1.1__3d_20240416_107170729-1;拼接底座-1;front_cover^chest_ass_all_plastic_ass_3d-1;back_cover^chest_ass_all_plastic_ass_3d-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_Link_a,-0.00522285738902538,0.068430739383195,-7.98519663836039E-06,0,0,0,0.714024582740381,0.00161737782485035,3.0691528566219E-05,1.07254893293068E-07,0.000649975537513608,4.12015643455051E-07,0.00138303396624634,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_a.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_a.STL,,10.062.3 左手臂-1/dm_4340__3d20240822_1(2)(1)-1;10.062.3 左手臂-1/dm_4340__3d20240822_1(2)(1)-2;10.062.3 左手臂-1/10.062.2-3 肩膀盖-1;10.062.3 左手臂-1/10.062.2-2 肩膀-1,left_link_a,left_a,left_Link_a,revolute,0,0.06705,0.4025,0,0,0,base_link,0,1,0,27,1,-3.14,3.14,,,,,,,,
left_Link_b,0.00634630263333465,0.0335577044134293,0.00143193744077386,0,0,0,0.290194901853491,0.000314975898209097,-0.000109165090859529,-7.65025710099105E-06,0.000256562007962312,-5.65506202264188E-06,0.000368239924206715,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_b.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_b.STL,,10.062.3 左手臂-1/10.062.2-4 肩关节-1,left_link_b,left_b,left_Link_b,revolute,-0.024,0.11,0,0,0,0,left_Link_a,1,0,0,27,1,-3.14,3.14,,,,,,,,
left_Link_c,-0.000804292055431574,0.10010020798079,-0.00527551699465456,0,0,0,0.730434280629082,0.00291554339670253,2.36540481960975E-05,-6.46059004431065E-07,0.000582205583746107,5.57806236975715E-05,0.00310616806264264,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_c.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_c.STL,,10.062.3 左手臂-1/dm_4340__3d20240822_1(2)(1)-3;10.062.3 左手臂-1/dm_4340__3d20240822_1(2)(1)-4;10.062.3 左手臂-1/10.062.2-5 大臂-1;10.062.3 左手臂-1/10.062.2-6 大臂盖-1,left_link_c,left_c,left_Link_c,revolute,0.024,0.06,0,0,0,0,left_Link_b,0,1,0,27,1,-3.14,3.14,,,,,,,,
left_Link_d,-0.00419122106308492,0.0349588656692956,0.00961324277524556,0,0,0,0.2301703999435,0.000262477393144989,8.43213400574846E-06,1.37611443131781E-05,0.000179066054799192,-8.08840682515189E-05,0.000213950806802726,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_d.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_d.STL,,10.062.3 左手臂-1/10.062.2-7 肘关节-1,left_link_d,left_d,left_Link_d,revolute,0,0.19,-0.02405,0,0,0,left_Link_c,0,0,1,27,1,-3.14,3.14,,,,,,,,
left_Link_e,-0.000318601282788017,0.0841533866419774,-0.00471994105233176,0,0,0,0.554028006119459,0.00139020791998541,3.25458829303201E-06,-5.41305397549329E-07,0.000351437968892432,4.36897715082031E-05,0.00149538308680023,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_e.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_e.STL,,10.062.3 左手臂-1/DM-J4310-2EC-V1.1__3d_20240822_1-1;10.062.3 左手臂-1/DM-J4310-2EC-V1.1__3d_20240822_1-2;10.062.3 左手臂-1/10.062.2-8 小臂-1;10.062.3 左手臂-1/10.062.2-9 小臂盖-1,left_link_e,left_e,left_Link_e,revolute,0,0.061,0.024,0,0,0,left_Link_d,0,1,0,7,1,-3.14,3.14,,,,,,,,
left_Link_f,-0.00060281644195162,0.0504460012066734,0.0304569564559836,0,0,0,0.325215012820872,0.000184379140224194,2.5724802342663E-06,6.21568717118592E-09,0.000196528413258407,-2.39796357238162E-05,0.000135918193366886,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_f.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_f.STL,,10.062.3 左手臂-1/10.062.2-10 腕关节-1;10.062.3 左手臂-1/夹爪-1/华馨京 25-50kg双轴舵机-3D.STEP-1;10.062.3 左手臂-1/夹爪-1/舵机安装板-1;10.062.3 左手臂-1/夹爪-1/华馨京 25-50kg舵机系列小U支架-3D.step-1;10.062.3 左手臂-1/夹爪-1/手爪安装板-1;10.062.3 左手臂-1/夹爪-1/IntelRealsense_D435_Multibody-1;10.062.3 左手臂-1/夹爪-1/华馨京 25-50kg舵机系列主舵盘（四孔）-3D.step-1;10.062.3 左手臂-1/夹爪-1/华馨京 25-50kg舵机系列副舵盘（四孔）-3D.step-1,left_link_f,left_f,left_Link_f,revolute,0,0.15,-0.024,0,0,0,left_Link_e,0,0,1,7,1,-3.14,3.14,,,,,,,,
left_Link_g,-0.00156752241638464,0.0320724777447855,-0.0263000175222456,0,0,0,0.0535922725086219,5.69093467037882E-05,3.34951343483746E-06,-2.01528945760707E-10,1.7972378430866E-05,-1.06533717224282E-09,4.22390422221058E-05,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_g.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_g.STL,,10.062.3 左手臂-1/夹爪-1/手指-1,left_link_g,left_g,left_Link_g,revolute,0.009675,0.0975,0.0503,0,0,0,left_Link_f,0,0,-1,25,1,-3.14,3.14,,,,,,,,
left_Link_h,0.00156752208437633,0.0320724779057608,-0.0262999829048627,0,0,0,0.0535922696827255,5.69093467274723E-05,-3.34951350988794E-06,-2.01374538333218E-10,1.79723781102648E-05,1.06525511587554E-09,4.2239042320722E-05,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_h.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://js_urdf/meshes/left_Link_h.STL,,10.062.3 左手臂-1/夹爪-1/手指-2,left_link_h,left_h,left_Link_h,revolute,-0.014825,0.0975,0.0503,0,0,0,left_Link_f,0,0,1,25,1,-3.14,3.14,,,,,,,,
right_Link_a,0.00522285738902674,-0.0684307393832014,-7.98519663947062E-06,0,0,0,0.714024582740524,0.00161737782485042,3.06915285662025E-05,-1.07254893285069E-07,0.000649975537513647,-4.12015643426433E-07,0.00138303396624641,0,0,0,0,0,0,package://js_urdf/meshes/right_Link_a.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://js_urdf/meshes/right_Link_a.STL,,10.062.2 右手臂-1/dm_4340__3d20240822_1(2)(1)-1;10.062.2 右手臂-1/dm_4340__3d20240822_1(2)(1)-2;10.062.2 右手臂-1/10.062.2-2 肩膀-1;10.062.2 右手臂-1/10.062.2-3 肩膀盖-1,right_link_a,right_a,right_Link_a,revolute,0,-0.06705,0.4025,0,0,0,base_link,0,-1,0,27,1,-3.14,3.14,,,,,,,,
